,Provincia di TARANTO,,,,,
,TA V. Machiavelli,,,,,
Parm,SO2,NO2,CO,O3,PM10,BENZENE
,,,,,,
,,,,,
,,,,,,,,,
,,,,,,,,
,,,,,,
13/01/2006 15.00,"1,952882","20,960625","0,289975","78,8596","6,213118","1,553976"
13/01/2006 16.00,"1,799263","31,155408","0,366182","66,975879","7,082279","1,262097"
13/01/2006 17.00,"1,841145","54,514521","0,553614","40,435219","8,940313","1,6272"
13/01/2006 18.00,"3,850441","104,579936","1,577204","0,054164","15,45607","1,963827"
13/01/2006 19.00,"2,956847","89,88283","1,121835","6,849116","19,77405","5,660113"
13/01/2006 20.00,"2,308226","60,382183","0,609914","32,978109","18,545771","4,051219"
13/01/2006 21.00,"2,558636","81,085831","1,026804","2,238352","22,81402","2,61369"
13/01/2006 22.00,"2,11672","47,037475","0,543347","32,273971","22,12443","3,8407"
13/01/2006 23.00,"2,143731","39,527979","0,493307","39,69994","23,52384","2,243502"
14/01/2006 0.00,"1,881358","46,340511","0,500778","38,042515","21,985331","2,14587"
14/01/2006 1.00,,"22,741307","0,357084","66,292053","20,51087","2,015185"
14/01/2006 2.00,"1,293934",,"0,280584","89,099432","16,726521","1,472616"
14/01/2006 3.00,"1,193098","9,688614",,"98,326368","14,93002","1,222434"
14/01/2006 4.00,"1,111164","9,037083","0,223107","99,155094","13,96054","1,069375"
14/01/2006 5.00,"1,436133","10,607498","0,234367","98,471246","14,13505","1,032763"
