Stat,Mesagne(RRQA),,,
,,,,,,,,,
Parm,SO2,NO2,NOX,PM10
Unit,ug/m3 293K,ug/m3 293K,ug/m3 293K,ug/m3
Field,Aver,Aver,Aver,Aver
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,
20/01/2014 16.00,"3,0","13,1","18,2","97,1"
20/01/2014 17.00,"3,5","16,0","22,5","97,1"
20/01/2014 18.00,"3,4","17,4","22,9","97,1"
20/01/2014 19.00,"3,7","20,7","25,6","97,1"
20/01/2014 20.00,"2,7","17,9","23,1","97,1"
20/01/2014 21.00,"3,3","27,7","32,6","97,1"
20/01/2014 22.00,"3,3","17,8","22,3","97,1"
20/01/2014 23.00,"2,5","10,0","14,2","97,1"
21/01/2014 0.00,"2,7","6,6","10,1","97,1"
21/01/2014 1.00,"2,5","6,4","11,4","13,7"
21/01/2014 2.00,"2,9","4,6","9,2","13,7"
21/01/2014 3.00,"3,3","4,4","9,3","13,7"
21/01/2014 4.00,"3,3","4,1","10,0","13,7"
21/01/2014 5.00,"3,8","4,6","10,1","13,7"
21/01/2014 6.00,"3,5","4,4","9,1","13,7"
21/01/2014 7.00,"3,6","6,6","11,4","13,7"
21/01/2014 8.00,"3,9","8,3","13,3","13,7"
21/01/2014 9.00,"4,2","10,6","15,9","13,7"
21/01/2014 10.00,"4,5","11,0","16,8","13,7"
21/01/2014 11.00,"4,3","10,8","15,6","13,7"
21/01/2014 12.00,"4,9","12,9","17,9","13,7"
21/01/2014 13.00,"4,9","13,3","19,5","13,7"
21/01/2014 14.00,"5,0","13,4","19,1","13,7"
21/01/2014 15.00,"5,1","11,0","16,5","13,7"
21/01/2014 16.00,"4,7","9,9","15,4","13,7"
21/01/2014 17.00,"4,6","11,3","16,6","13,7"
21/01/2014 18.00,"5,0","14,0","19,2","13,7"
21/01/2014 19.00,"4,7","17,4","21,9","13,7"
21/01/2014 20.00,"4,9","19,0","24,0","13,7"
21/01/2014 21.00,"5,0","22,1","27,2","13,7"
21/01/2014 22.00,"5,2","31,5","36,2","13,7"
21/01/2014 23.00,"5,1","23,2","27,8","13,7"
22/01/2014 0.00,"5,1","12,5","17,2","13,7"
22/01/2014 1.00,,"10,0","14,5","18,6"
22/01/2014 2.00,"5,0",,,"18,6"
22/01/2014 3.00,"5,5","9,0","14,1","18,6"
22/01/2014 4.00,"5,0","8,0","13,5","18,6"
22/01/2014 5.00,"4,8","6,7","11,9","18,6"
22/01/2014 6.00,"5,1","7,6","13,1","18,6"
22/01/2014 7.00,"5,2","17,5","23,4","18,6"
22/01/2014 8.00,"5,0","24,9","31,6","18,6"
22/01/2014 9.00,"5,4","36,8","47,7","18,6"
22/01/2014 10.00,"5,6","32,9","41,3","18,6"
22/01/2014 11.00,"5,4","22,1","30,9","18,6"
22/01/2014 12.00,"5,6","18,1","27,9","18,6"
22/01/2014 13.00,"4,7","13,3","19,6","18,6"
22/01/2014 14.00,"5,8","13,0","17,0","18,6"
22/01/2014 15.00,"5,7","17,0","20,6","18,6"
22/01/2014 16.00,"5,6","18,6","23,2","18,6"
22/01/2014 17.00,,"21,1","24,7","18,6"
22/01/2014 18.00,"2,4","51,7","52,5","18,6"
22/01/2014 19.00,"2,7","46,7","48,4","18,6"
22/01/2014 20.00,"3,0","41,7","45,6","18,6"
22/01/2014 21.00,"2,5","47,4","54,6","18,6"
22/01/2014 22.00,"2,9","45,0","50,0","18,6"
22/01/2014 23.00,"2,4","28,2","32,0","18,6"
23/01/2014 0.00,"2,2","16,0","19,6","18,6"
23/01/2014 1.00,"2,2","11,7","15,5","45,7"
23/01/2014 2.00,"2,9","8,7","13,6","45,7"
23/01/2014 3.00,"2,9","13,6","19,3","45,7"
23/01/2014 4.00,"2,7","12,2","17,2","45,7"
23/01/2014 5.00,"2,7","13,0","18,7","45,7"
23/01/2014 6.00,"3,1","15,1","20,6","45,7"
23/01/2014 7.00,"3,4","25,7","33,8","45,7"
23/01/2014 8.00,"3,3","37,5","52,4","45,7"
23/01/2014 9.00,"2,7","55,3","80,1","45,7"
23/01/2014 10.00,"2,7","62,5","95,6","45,7"
23/01/2014 11.00,"2,7","69,5","102,7","45,7"
23/01/2014 12.00,"2,4","19,3","25,4","45,7"
23/01/2014 13.00,"2,4","17,9","22,7","45,7"
23/01/2014 14.00,"2,5","15,6","19,7","45,7"
23/01/2014 15.00,"2,4","15,3","19,0","45,7"
23/01/2014 16.00,"2,4","18,5","22,4","45,7"
23/01/2014 17.00,"3,1","29,9","33,8","45,7"
23/01/2014 18.00,"3,3","51,5","56,2","45,7"
23/01/2014 19.00,"3,9","88,6","105,2","45,7"
23/01/2014 20.00,"3,7","72,6","83,3","45,7"
23/01/2014 21.00,"2,5","42,1","49,3","45,7"
23/01/2014 22.00,"3,0","67,2","81,9","45,7"
23/01/2014 23.00,"2,7","47,7","54,1","45,7"
24/01/2014 0.00,"2,9","26,7","31,0","45,7"
24/01/2014 1.00,,"19,0","23,2","38,2"
24/01/2014 2.00,"3,0",,,"38,2"
24/01/2014 3.00,"2,8","8,9","14,5","38,2"
24/01/2014 4.00,"2,6","7,9","13,1","38,2"
24/01/2014 5.00,"2,2","8,6","13,7","38,2"
24/01/2014 6.00,"2,8","9,0","14,3","38,2"
24/01/2014 7.00,"2,4","9,5","14,6","38,2"
24/01/2014 8.00,"1,9","20,9","25,5","38,2"
24/01/2014 9.00,"2,3","32,5","38,3","38,2"
24/01/2014 10.00,"1,8","16,2","21,2","38,2"
24/01/2014 11.00,"1,9","16,0","21,2","38,2"
24/01/2014 12.00,"2,0","13,0","17,9","38,2"
24/01/2014 13.00,,,,"38,2"
24/01/2014 14.00,"2,0","17,3","32,5","38,2"
24/01/2014 15.00,"2,3","18,9","27,0","38,2"
24/01/2014 16.00,"1,9","18,2","26,6","38,2"
24/01/2014 17.00,"2,3","25,4","32,5","38,2"
24/01/2014 18.00,"2,1","31,7","37,5","38,2"
24/01/2014 19.00,"2,4","26,7","31,0","38,2"
24/01/2014 20.00,"2,0","50,5","55,5","38,2"
24/01/2014 21.00,"2,4","58,3","66,0","38,2"
24/01/2014 22.00,"2,2","41,8","46,8","38,2"
24/01/2014 23.00,"1,9","32,5","36,2","38,2"
25/01/2014 0.00,"2,0","20,5","24,0","38,2"
25/01/2014 1.00,"2,0","14,8","19,2","10,2"
25/01/2014 2.00,"1,9","13,0","18,3","10,2"
25/01/2014 3.00,"2,3","12,6","17,3","10,2"
25/01/2014 4.00,"1,7","10,5","15,7","10,2"
25/01/2014 5.00,"2,2","10,4","15,2","10,2"
25/01/2014 6.00,"2,4","11,4","17,3","10,2"
25/01/2014 7.00,"2,7","15,8","23,7","10,2"
25/01/2014 8.00,"2,8","35,7","52,0","10,2"
25/01/2014 9.00,"2,6","36,9","62,6","10,2"
25/01/2014 10.00,"2,6","14,9","26,3","10,2"
25/01/2014 11.00,"2,3","10,9","20,1","10,2"
25/01/2014 12.00,"2,2","10,3","18,9","10,2"
25/01/2014 13.00,"2,3","10,2","17,1","10,2"
25/01/2014 14.00,"2,1","8,8","13,9","10,2"
25/01/2014 15.00,"2,1","11,0","15,0","10,2"
25/01/2014 16.00,"2,3","10,5","15,0","10,2"
25/01/2014 17.00,"2,7","11,3","15,6","10,2"
25/01/2014 18.00,"3,0","17,0","22,4","10,2"
25/01/2014 19.00,"3,8","22,4","32,0","10,2"
25/01/2014 20.00,"3,3","7,7","14,1","10,2"
25/01/2014 21.00,"3,4","7,2","13,1","10,2"
25/01/2014 22.00,"3,0","7,2","10,5","10,2"
25/01/2014 23.00,"3,5","7,4","8,8","10,2"
26/01/2014 0.00,"4,2","6,3","6,6","10,2"
26/01/2014 1.00,,"6,1","6,5","7,8"
26/01/2014 2.00,"3,9",,,"7,8"
26/01/2014 3.00,"4,0","6,0","7,4","7,8"
26/01/2014 4.00,"3,8","5,2","6,2","7,8"
26/01/2014 5.00,"4,0","5,0","5,3","7,8"
26/01/2014 6.00,"3,4","5,0","5,4","7,8"
26/01/2014 7.00,"3,5","4,6","4,7","7,8"
26/01/2014 8.00,"3,5","5,6","5,1","7,8"
26/01/2014 9.00,"3,5","5,7","5,2","7,8"
26/01/2014 10.00,"4,1","5,9","5,6","7,8"
26/01/2014 11.00,"3,9","5,6","5,3","7,8"
26/01/2014 12.00,"4,4","5,4","5,3","7,8"
26/01/2014 13.00,"4,4","5,3","5,9","7,8"
26/01/2014 14.00,"4,1","5,9","8,6","7,8"
26/01/2014 15.00,"4,4","4,9","7,6","7,8"
26/01/2014 16.00,"4,7","5,5","8,0","7,8"
26/01/2014 17.00,"4,1","7,3","8,5","7,8"
26/01/2014 18.00,"4,1","7,5","7,5","7,8"
26/01/2014 19.00,"4,7","9,7","9,3","7,8"
26/01/2014 20.00,"4,3","6,3","5,8","7,8"
26/01/2014 21.00,"4,3","4,2","3,7","7,8"
26/01/2014 22.00,"4,1","4,1","3,6","7,8"
26/01/2014 23.00,"4,4","4,5","4,1","7,8"
27/01/2014 0.00,"5,9","4,3","3,9","7,8"
27/01/2014 1.00,"8,0","4,3","3,9","30,4"
27/01/2014 2.00,"7,7","4,4","3,9","30,4"
27/01/2014 3.00,"6,5","4,0","3,5","30,4"
27/01/2014 4.00,"5,8","3,9","3,4","30,4"
27/01/2014 5.00,"5,9","3,9","3,5","30,4"
27/01/2014 6.00,"6,5","5,1","4,6","30,4"
27/01/2014 7.00,"5,3","9,3","9,1","30,4"
27/01/2014 8.00,"5,6","33,5","38,0","30,4"
27/01/2014 9.00,"5,3","42,5","53,8","30,4"
27/01/2014 10.00,"5,0","31,4","37,7","30,4"
27/01/2014 11.00,"5,5","22,5","27,4","30,4"
27/01/2014 12.00,"5,7","12,3","16,9","30,4"
27/01/2014 13.00,"4,9","11,5","16,9","30,4"
27/01/2014 14.00,"4,9","12,1","18,5","30,4"
27/01/2014 15.00,"4,9","12,6","17,3","30,4"
27/01/2014 16.00,"4,6","12,4","17,5","30,4"
27/01/2014 17.00,"4,6","22,6","27,9","30,4"
27/01/2014 18.00,"4,5","46,2","53,0","30,4"
27/01/2014 19.00,"5,1","79,3","102,3","30,4"
27/01/2014 20.00,"5,3","75,2","90,5","30,4"
27/01/2014 21.00,"4,8","61,1","74,2","30,4"
27/01/2014 22.00,"5,0","59,8","72,2","30,4"
27/01/2014 23.00,"4,9","39,6","47,3","30,4"
28/01/2014 0.00,"4,3","25,4","32,1","30,4"
28/01/2014 1.00,,"16,6","22,7","20,0"
28/01/2014 2.00,"4,6",,,"20,0"
28/01/2014 3.00,"5,4",,,"20,0"
28/01/2014 4.00,"5,1",,,"20,0"
28/01/2014 5.00,"4,8",,,"20,0"
28/01/2014 6.00,"4,7",,,"20,0"
28/01/2014 7.00,"4,6",,,"20,0"
28/01/2014 8.00,"4,6",,,"20,0"
28/01/2014 9.00,"4,5",,,"20,0"
28/01/2014 10.00,"4,6",,,"20,0"
28/01/2014 11.00,"4,0",,,"20,0"
28/01/2014 12.00,"3,7",,,"20,0"
28/01/2014 13.00,"4,1",,,"20,0"
28/01/2014 14.00,"3,5",,,"20,0"
28/01/2014 15.00,"3,0",,,"20,0"
28/01/2014 16.00,"2,9",,,"20,0"
28/01/2014 17.00,"3,6",,,"20,0"
28/01/2014 18.00,"3,1",,,"20,0"
28/01/2014 19.00,"3,5",,,"20,0"
28/01/2014 20.00,"3,1",,,"20,0"
28/01/2014 21.00,"3,5",,,"20,0"
28/01/2014 22.00,"3,5",,,"20,0"
28/01/2014 23.00,"3,3",,,"20,0"
29/01/2014 0.00,"3,0",,,"20,0"
29/01/2014 1.00,"3,3",,,"32,2"
29/01/2014 2.00,"3,1",,,"32,2"
29/01/2014 3.00,"3,8",,,"32,2"
29/01/2014 4.00,"3,4",,,"32,2"
29/01/2014 5.00,"3,5",,,"32,2"
29/01/2014 6.00,"3,2",,,"32,2"
29/01/2014 7.00,"3,3",,,"32,2"
29/01/2014 8.00,"3,6",,,"32,2"
29/01/2014 9.00,"3,9",,,"32,2"
29/01/2014 10.00,"3,8",,,"32,2"
29/01/2014 11.00,"4,5",,,"32,2"
29/01/2014 12.00,"8,6","25,9","36,2","32,2"
29/01/2014 13.00,"5,1","15,0","22,3","32,2"
29/01/2014 14.00,"4,8","18,0","23,2","32,2"
29/01/2014 15.00,"4,5","14,2","18,6","32,2"
29/01/2014 16.00,"4,8","11,4","16,5","32,2"
29/01/2014 17.00,"5,4","24,2","29,7","32,2"
29/01/2014 18.00,"4,7","46,2","52,3","32,2"
29/01/2014 19.00,"4,9","58,2","66,2","32,2"
29/01/2014 20.00,"4,7","51,7","60,4","32,2"
29/01/2014 21.00,"4,9","54,9","65,9","32,2"
29/01/2014 22.00,"5,1","49,3","59,0","32,2"
29/01/2014 23.00,"4,4","34,8","43,4","32,2"
30/01/2014 0.00,"4,7","26,3","33,7","32,2"
30/01/2014 1.00,,"16,6","24,4","21,1"
30/01/2014 2.00,"4,2",,,"21,1"
30/01/2014 3.00,"3,7","7,6","15,6","21,1"
30/01/2014 4.00,"4,1","5,6","13,7","21,1"
30/01/2014 5.00,"4,2","5,4","13,4","21,1"
30/01/2014 6.00,"4,2","6,2","14,3","21,1"
30/01/2014 7.00,"3,8","10,4","18,4","21,1"
30/01/2014 8.00,"3,7","12,8","20,7","21,1"
30/01/2014 9.00,"3,7","17,9","26,5","21,1"
30/01/2014 10.00,"3,6","14,4","22,9","21,1"
30/01/2014 11.00,"3,4","11,9","19,9","21,1"
30/01/2014 12.00,"3,3","11,0","18,5","21,1"
30/01/2014 13.00,"4,0","11,3","18,2","21,1"
30/01/2014 14.00,"3,1","12,0","18,7","21,1"
30/01/2014 15.00,"3,0","13,0","19,4","21,1"
30/01/2014 16.00,"3,2","11,0","16,3","21,1"
30/01/2014 17.00,"3,5","12,1","17,3","21,1"
30/01/2014 18.00,"3,6","14,1","19,3","21,1"
30/01/2014 19.00,"3,8","16,9","22,1","21,1"
30/01/2014 20.00,"3,1","20,2","26,8","21,1"
30/01/2014 21.00,"2,7","19,0","25,2","21,1"
30/01/2014 22.00,"2,7","16,9","22,3","21,1"
30/01/2014 23.00,"1,9","12,4","17,8","21,1"
31/01/2014 0.00,"2,5","8,4","13,9","21,1"
31/01/2014 1.00,"2,6","5,7","11,7","26,7"
31/01/2014 2.00,"2,3","7,4","13,3","26,7"
31/01/2014 3.00,"2,3","5,1","11,3","26,7"
31/01/2014 4.00,"2,4","5,1","11,5","26,7"
31/01/2014 5.00,"2,3","6,9","13,1","26,7"
31/01/2014 6.00,"2,4","7,1","13,5","26,7"
31/01/2014 7.00,"1,9","9,4","15,9","26,7"
31/01/2014 8.00,"2,3","12,6","19,2","26,7"
31/01/2014 9.00,"2,3","15,5","23,2","26,7"
31/01/2014 10.00,"2,3","13,4","20,5","26,7"
31/01/2014 11.00,"2,1","11,6","18,1","26,7"
31/01/2014 12.00,"2,1","10,3","17,1","26,7"
31/01/2014 13.00,"2,2","9,7","15,7","26,7"
31/01/2014 14.00,"1,9","11,3","16,6","26,7"
31/01/2014 15.00,"2,0","10,8","15,2","26,7"
31/01/2014 16.00,"1,7","10,2","14,7","26,7"
31/01/2014 17.00,"1,8","11,8","17,0","26,7"
31/01/2014 18.00,"2,0","14,4","18,9","26,7"
31/01/2014 19.00,"1,9","23,1","28,2","26,7"
31/01/2014 20.00,"1,8","24,4","29,6","26,7"
31/01/2014 21.00,"1,9","25,2","30,6","26,7"
31/01/2014 22.00,"2,2","19,2","24,4","26,7"
31/01/2014 23.00,"2,4","12,2","17,3","26,7"
01/02/2014 0.00,"2,2","9,9","15,3","26,7"
01/02/2014 1.00,,"6,3","12,1","22,3"
01/02/2014 2.00,"2,0",,,"22,3"
01/02/2014 3.00,"2,2","5,6","11,7","22,3"
01/02/2014 4.00,"1,8","4,8","11,1","22,3"
01/02/2014 5.00,"1,9","4,3","10,1","22,3"
01/02/2014 6.00,"1,6","5,6","11,3","22,3"
01/02/2014 7.00,"1,9","8,8","15,0","22,3"
01/02/2014 8.00,"1,7","11,5","17,9","22,3"
01/02/2014 9.00,"2,2","17,1","24,5","22,3"
01/02/2014 10.00,"2,5","16,3","23,5","22,3"
01/02/2014 11.00,"2,4","15,2","21,7","22,3"
01/02/2014 12.00,"2,3","15,3","22,0","22,3"
01/02/2014 13.00,"2,4","14,2","21,4","22,3"
01/02/2014 14.00,"2,5","13,8","21,6","22,3"
01/02/2014 15.00,"1,9","10,5","16,8","22,3"
01/02/2014 16.00,"2,5","11,2","17,8","22,3"
01/02/2014 17.00,"2,6","14,1","21,1","22,3"
01/02/2014 18.00,"2,6","13,3","19,6","22,3"
01/02/2014 19.00,"2,3","13,4","23,8","22,3"
01/02/2014 20.00,"1,8","17,2","23,9","22,3"
01/02/2014 21.00,"2,0","16,3","23,0","22,3"
01/02/2014 22.00,"2,5","14,8","21,2","22,3"
01/02/2014 23.00,"1,9","6,5","12,6","22,3"
02/02/2014 0.00,"2,7","6,0","12,5","22,3"
02/02/2014 1.00,"3,0","8,9","14,9","14,6"
02/02/2014 2.00,"2,3","8,5","15,2","14,6"
02/02/2014 3.00,"2,4","9,8","17,1","14,6"
02/02/2014 4.00,"2,4","5,5","13,3","14,6"
02/02/2014 5.00,"2,1","5,7","13,5","14,6"
02/02/2014 6.00,"2,5","5,1","12,6","14,6"
02/02/2014 7.00,"2,4","6,1","13,8","14,6"
02/02/2014 8.00,"2,3","5,8","13,0","14,6"
02/02/2014 9.00,"2,7","8,1","16,1","14,6"
02/02/2014 10.00,"3,0","8,6","16,5","14,6"
02/02/2014 11.00,"3,0","8,3","16,0","14,6"
02/02/2014 12.00,"2,7","8,4","16,6","14,6"
02/02/2014 13.00,"2,5","8,6","17,0","14,6"
02/02/2014 14.00,"2,4","7,9","15,1","14,6"
02/02/2014 15.00,"2,1","6,6","14,2","14,6"
02/02/2014 16.00,"1,6","8,0","14,4","14,6"
02/02/2014 17.00,"1,9","8,3","15,1","14,6"
02/02/2014 18.00,"2,7","10,1","16,7","14,6"
02/02/2014 19.00,"2,5","13,4","20,0","14,6"
02/02/2014 20.00,"2,3","19,1","26,2","14,6"
02/02/2014 21.00,"2,4","15,6","21,6","14,6"
02/02/2014 22.00,"2,1","14,4","20,6","14,6"
02/02/2014 23.00,"3,0","11,8","18,3","14,6"
03/02/2014 0.00,"2,3","17,2","23,9","14,6"
03/02/2014 1.00,,"8,9","15,2","19,3"
03/02/2014 2.00,"2,9",,,"19,3"
03/02/2014 3.00,"2,7","5,7","13,1","19,3"
03/02/2014 4.00,"2,8","5,7","13,3","19,3"
03/02/2014 5.00,"3,2","5,9","12,7","19,3"
03/02/2014 6.00,"2,7","7,0","14,0","19,3"
03/02/2014 7.00,"2,6","30,2","43,4","19,3"
03/02/2014 8.00,"2,3","19,4","30,3","19,3"
03/02/2014 9.00,"2,6","43,5","60,0","19,3"
03/02/2014 10.00,"3,2","38,0","51,6","19,3"
03/02/2014 11.00,"1,9","24,1","36,2","19,3"
03/02/2014 12.00,"2,1","16,1","24,8","19,3"
03/02/2014 13.00,"1,8","15,8","24,7","19,3"
03/02/2014 14.00,"2,2","13,7","21,5","19,3"
03/02/2014 15.00,"2,3","13,9","21,5","19,3"
03/02/2014 16.00,"2,5","15,1","22,5","19,3"
03/02/2014 17.00,"3,0","20,6","28,2","19,3"
03/02/2014 18.00,"2,2","19,2","26,2","19,3"
03/02/2014 19.00,"2,1","23,7","30,5","19,3"
03/02/2014 20.00,"2,5","34,8","43,2","19,3"
03/02/2014 21.00,"2,1","37,6","46,4","19,3"
03/02/2014 22.00,"2,1","26,1","33,7","19,3"
03/02/2014 23.00,"2,9","22,7","30,0","19,3"
04/02/2014 0.00,"2,9","9,2","16,5","19,3"
04/02/2014 1.00,"2,5","5,6","12,7","20,4"
04/02/2014 2.00,"2,6","4,2","12,1","20,4"
04/02/2014 3.00,"2,7","4,0","12,4","20,4"
04/02/2014 4.00,"3,1","3,7","11,7","20,4"
04/02/2014 5.00,"2,5","3,7","12,2","20,4"
04/02/2014 6.00,"2,4","4,3","12,1","20,4"
04/02/2014 7.00,"3,1","5,7","13,8","20,4"
04/02/2014 8.00,"2,9","8,7","19,0","20,4"
04/02/2014 9.00,"3,0","12,8","23,0","20,4"
04/02/2014 10.00,"2,8","14,2","24,1","20,4"
04/02/2014 11.00,"2,5","15,2","24,2","20,4"
04/02/2014 12.00,"2,4","14,6","23,3","20,4"
04/02/2014 13.00,"1,9","11,2","18,7","20,4"
04/02/2014 14.00,"2,2","9,8","15,1","20,4"
04/02/2014 15.00,"1,9","11,6","16,8","20,4"
04/02/2014 16.00,"1,7","15,6","21,1","20,4"
04/02/2014 17.00,"2,0","18,3","25,0","20,4"
04/02/2014 18.00,"2,1","23,3","29,6","20,4"
04/02/2014 19.00,"2,8","32,0","39,3","20,4"
04/02/2014 20.00,"2,6","37,6","45,8","20,4"
04/02/2014 21.00,"2,6","39,0","46,7","20,4"
04/02/2014 22.00,"2,6","35,2","42,8","20,4"
04/02/2014 23.00,"2,8","27,3","34,2","20,4"
05/02/2014 0.00,"2,9","18,2","24,7","20,4"
05/02/2014 1.00,,"13,2","19,9","29,1"
05/02/2014 2.00,"2,5",,,"29,1"
05/02/2014 3.00,"2,7","7,6","15,3","29,1"
05/02/2014 4.00,"2,9","7,1","15,2","29,1"
05/02/2014 5.00,"2,6","7,4","16,0","29,1"
05/02/2014 6.00,"2,7","7,7","16,5","29,1"
05/02/2014 7.00,"3,0","16,1","24,9","29,1"
05/02/2014 8.00,"2,9","28,4","37,8","29,1"
05/02/2014 9.00,"3,4","35,5","49,8","29,1"
05/02/2014 10.00,"2,4","26,5","40,0","29,1"
05/02/2014 11.00,"3,0","15,4","24,7","29,1"
05/02/2014 12.00,"2,8","12,8","20,4","29,1"
05/02/2014 13.00,"2,4","13,7","20,2","29,1"
05/02/2014 14.00,"2,0","13,6","19,6","29,1"
05/02/2014 15.00,"2,1","11,4","15,9","29,1"
05/02/2014 16.00,"2,2","9,4","13,3","29,1"
05/02/2014 17.00,"2,5","12,4","16,8","29,1"
05/02/2014 18.00,"2,3","22,7","27,7","29,1"
05/02/2014 19.00,"2,5","41,9","48,1","29,1"
05/02/2014 20.00,"2,8","48,3","56,0","29,1"
05/02/2014 21.00,"2,9","45,0","53,2","29,1"
05/02/2014 22.00,"2,7","33,0","39,4","29,1"
05/02/2014 23.00,"2,4","30,4","36,7","29,1"
06/02/2014 0.00,"2,6","24,5","30,4","29,1"
06/02/2014 1.00,"2,5","8,7","15,1","18,6"
06/02/2014 2.00,"2,6","7,7","14,7","18,6"
06/02/2014 3.00,"2,5","6,9","14,1","18,6"
06/02/2014 4.00,"2,5","5,9","13,3","18,6"
06/02/2014 5.00,"2,9","6,5","14,1","18,6"
06/02/2014 6.00,"2,6","6,4","14,0","18,6"
06/02/2014 7.00,"2,7","11,8","19,3","18,6"
06/02/2014 8.00,"2,9","16,0","23,3","18,6"
06/02/2014 9.00,"2,3","22,2","29,3","18,6"
06/02/2014 10.00,"2,6","30,2","38,2","18,6"
06/02/2014 11.00,"2,8","16,8","24,5","18,6"
06/02/2014 12.00,"2,8","28,7","40,1","18,6"
06/02/2014 13.00,"2,3","11,4","18,4","18,6"
06/02/2014 14.00,"2,0","10,1","14,6","18,6"
06/02/2014 15.00,"2,1","10,9","15,2","18,6"
06/02/2014 16.00,"2,6","7,6","13,7","18,6"
06/02/2014 17.00,"2,6","7,3","13,9","18,6"
06/02/2014 18.00,"2,3","12,4","19,0","18,6"
06/02/2014 19.00,"2,6","19,7","26,7","18,6"
06/02/2014 20.00,"2,7","23,8","30,1","18,6"
06/02/2014 21.00,"2,8","17,7","23,8","18,6"
06/02/2014 22.00,"2,5","17,6","23,6","18,6"
06/02/2014 23.00,"3,2","19,8","26,5","18,6"
07/02/2014 0.00,"3,1","15,3","22,5","18,6"
07/02/2014 1.00,,"8,6","15,5","20,6"
07/02/2014 2.00,"3,3",,,"20,6"
07/02/2014 3.00,"3,4","7,6","15,6","20,6"
07/02/2014 4.00,"3,1","8,9","16,7","20,6"
07/02/2014 5.00,"3,5","5,8","13,4","20,6"
07/02/2014 6.00,"3,2","8,9","16,4","20,6"
07/02/2014 7.00,"3,2","20,4","30,2","20,6"
07/02/2014 8.00,"3,1","29,9","42,2","20,6"
07/02/2014 9.00,"3,2","40,3","63,2","20,6"
07/02/2014 10.00,"3,2","39,8","62,5","20,6"
07/02/2014 11.00,"2,9","11,6","20,9","20,6"
07/02/2014 12.00,"2,6","10,7","18,5","20,6"
07/02/2014 13.00,"2,6","10,8","17,8","20,6"
07/02/2014 14.00,"2,7","12,9","17,7","20,6"
07/02/2014 15.00,"2,1","10,4","14,9","20,6"
07/02/2014 16.00,"2,7","10,1","15,1","20,6"
07/02/2014 17.00,"2,6","13,0","18,1","20,6"
07/02/2014 18.00,"2,6","21,1","26,6","20,6"
07/02/2014 19.00,"2,9","34,0","40,1","20,6"
07/02/2014 20.00,"2,8","46,3","53,8","20,6"
07/02/2014 21.00,"3,7","39,5","46,8","20,6"
07/02/2014 22.00,"3,2","24,5","30,7","20,6"
07/02/2014 23.00,"3,2","21,5","27,9","20,6"
08/02/2014 0.00,"2,7","12,9","19,3","20,6"
08/02/2014 1.00,"2,4","6,1","12,8","36,1"
08/02/2014 2.00,"2,5","4,5","11,3","36,1"
08/02/2014 3.00,"2,9","4,1","10,8","36,1"
08/02/2014 4.00,"2,2","4,2","11,2","36,1"
08/02/2014 5.00,"2,8","4,6","11,7","36,1"
08/02/2014 6.00,"2,9","4,7","11,9","36,1"
08/02/2014 7.00,"2,5","7,4","14,8","36,1"
08/02/2014 8.00,"2,6","12,5","19,4","36,1"
08/02/2014 9.00,"2,6","15,2","22,0","36,1"
08/02/2014 10.00,"2,4","12,0","18,1","36,1"
08/02/2014 11.00,"2,8","12,2","17,4","36,1"
08/02/2014 12.00,"2,4","15,3","21,1","36,1"
08/02/2014 13.00,"2,8","16,5","22,5","36,1"
08/02/2014 14.00,"2,8","18,4","24,1","36,1"
08/02/2014 15.00,"2,3","12,2","18,0","36,1"
08/02/2014 16.00,"2,2","12,7","17,8","36,1"
08/02/2014 17.00,"2,3","14,5","19,5","36,1"
08/02/2014 18.00,"2,6","23,5","29,2","36,1"
08/02/2014 19.00,"2,6","40,8","46,7","36,1"
08/02/2014 20.00,"2,7","42,0","48,1","36,1"
08/02/2014 21.00,"2,6","48,3","56,1","36,1"
08/02/2014 22.00,"2,7","48,1","56,0","36,1"
08/02/2014 23.00,"2,4","29,5","36,3","36,1"
09/02/2014 0.00,"2,4","23,1","29,7","36,1"
09/02/2014 1.00,,"17,9","24,5","26,2"
09/02/2014 2.00,"2,1",,,"26,2"
09/02/2014 3.00,"1,9","10,9","18,1","26,2"
09/02/2014 4.00,"2,0","9,8","17,0","26,2"
09/02/2014 5.00,"2,2","9,3","17,2","26,2"
09/02/2014 6.00,"1,8","7,0","15,0","26,2"
09/02/2014 7.00,"1,9","8,1","16,4","26,2"
09/02/2014 8.00,"2,5","14,0","22,3","26,2"
09/02/2014 9.00,"2,8","14,2","22,4","26,2"
09/02/2014 10.00,"2,5","18,8","27,0","26,2"
09/02/2014 11.00,"2,2","17,8","26,0","26,2"
09/02/2014 12.00,"2,8","14,2","21,4","26,2"
09/02/2014 13.00,"2,3","15,8","22,6","26,2"
09/02/2014 14.00,"2,7","17,4","24,7","26,2"
09/02/2014 15.00,"2,4","7,4","13,7","26,2"
09/02/2014 16.00,"1,8","8,9","14,8","26,2"
09/02/2014 17.00,"2,5","10,7","17,0","26,2"
09/02/2014 18.00,"2,0","14,2","20,6","26,2"
09/02/2014 19.00,"2,3","23,1","29,4","26,2"
09/02/2014 20.00,"2,9","33,9","40,7","26,2"
09/02/2014 21.00,"3,3","47,0","56,6","26,2"
