Stat,Mesagne(RRQA),,,
,,,,,,,,,
Parm,SO2,NO2,NOX,PM10
Unit,ug/m3 293K,ug/m3 293K,ug/m3 293K,ug/m3
Field,Aver,Aver,Aver,Aver
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,
19/01/2014 0.00,"3,9","7,4","11,4","23,4"
19/01/2014 1.00,"3,8","5,8","9,9","28,3"
19/01/2014 2.00,"3,4","4,9","9,3","28,3"
19/01/2014 3.00,"3,2","4,5","9,2","28,3"
19/01/2014 4.00,"3,4","4,3","9,3","28,3"
19/01/2014 5.00,"3,6","4,0","9,1","28,3"
19/01/2014 6.00,"3,3","4,2","9,5","28,3"
19/01/2014 7.00,"3,9","4,9","10,4","28,3"
19/01/2014 8.00,"3,1","5,4","10,8","28,3"
19/01/2014 9.00,,,,"28,3"
19/01/2014 10.00,,,,"28,3"
19/01/2014 11.00,,,,"28,3"
19/01/2014 12.00,,,,"28,3"
19/01/2014 13.00,,,,"28,3"
19/01/2014 14.00,,,,"28,3"
19/01/2014 15.00,,,,"28,3"
19/01/2014 16.00,,,,"28,3"
19/01/2014 17.00,,,,"28,3"
19/01/2014 18.00,,,,"28,3"
19/01/2014 19.00,,,,"28,3"
19/01/2014 20.00,,,,"28,3"
19/01/2014 21.00,,,,"28,3"
19/01/2014 22.00,,,,"28,3"
19/01/2014 23.00,,,,"28,3"
20/01/2014 0.00,,,,"28,3"
20/01/2014 1.00,,,,"97,1"
20/01/2014 2.00,,,,"97,1"
20/01/2014 3.00,,,,"97,1"
20/01/2014 4.00,,,,"97,1"
20/01/2014 5.00,,,,"97,1"
20/01/2014 6.00,,,,"97,1"
20/01/2014 7.00,,,,"97,1"
20/01/2014 8.00,,,,"97,1"
20/01/2014 9.00,,,,"97,1"
20/01/2014 10.00,,,,"97,1"
20/01/2014 11.00,,,,"97,1"
20/01/2014 12.00,,,,"97,1"
20/01/2014 13.00,"2,3","11,0","14,5","97,1"
20/01/2014 14.00,"2,5","10,8","14,6","97,1"
20/01/2014 15.00,"2,6","12,0","16,1","97,1"
