,Comune Bari,,,,
,Rione Japigia,,,,
Parm,SO2,NO2,CO,PM10,BENZENE
,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
13/01/2009 6.00,,"29,49542976",,"25,09605026",
13/01/2009 7.00,,"36,86215544","0,53071226","25,09346962",
13/01/2009 8.00,,"41,40080368","0,65449933","25,09576988",
13/01/2009 9.00,,"51,08164208","0,78790814","25,09564018",
13/01/2009 10.00,,"45,49299992","0,5106195","25,09646034",
13/01/2009 11.00,,"48,92328088","0,46581593","25,09917068",
13/01/2009 12.00,,"38,28850744","0,29718801","25,09822083",
13/01/2009 13.00,,"32,37411784","0,29918948","25,09700012",
13/01/2009 14.00,,"31,8212248","0,27674925","25,09725952",
13/01/2009 15.00,,"19,10078249","0,21093024","25,09794998",
13/01/2009 16.00,,,,,
13/01/2009 17.00,,,"0,17875178","25,17634964",
13/01/2009 18.00,,,"0,13591123","25,0953598",
13/01/2009 19.00,,,"0,13190829","25,09781075",
13/01/2009 20.00,,"19,65482464","0,11770461","25,09020996",
13/01/2009 21.00,,"34,36242576","0,10600452","25,07909012",
13/01/2009 22.00,,"40,06659096","0,10565735","25,07868004",
13/01/2009 23.00,,"32,6323908","0,11516491","25,0774498",
14/01/2009 0.00,,"25,6796896","0,08995315","25,07909012",
14/01/2009 1.00,,"18,90739516","0,06936061",,
14/01/2009 2.00,,"18,11699348","0,08367846",,
14/01/2009 3.00,,"13,13186647","0,05515693",,
14/01/2009 4.00,,"15,65233562","0,05692773",,
14/01/2009 5.00,,"16,64650105","0,0680127",,
14/01/2009 6.00,,"29,92501792",,"10,7449398",
14/01/2009 7.00,,"32,30012344","0,29567933","10,74452972",
14/01/2009 8.00,,"57,11025456","0,33585552","10,74656963",
14/01/2009 9.00,,"64,03570976","0,27871344","10,74520969",
14/01/2009 10.00,,"41,40080368","0,2645948","10,74359035",
14/01/2009 11.00,,"32,56229688","0,25997907","10,74534988",
14/01/2009 12.00,,"28,66998112","0,21129955","10,74588966",
14/01/2009 13.00,,"20,7140344","0,20420703","10,74547958",
14/01/2009 14.00,,"27,412344","0,22723908","10,74520969",
14/01/2009 15.00,,"31,67195496","0,212849","10,74615955",
14/01/2009 16.00,,"38,24437848","0,19207588","10,77655029",
14/01/2009 17.00,,"33,75850144","0,13942138","10,80776024",
14/01/2009 18.00,"1,18658678","30,52724056","0,21693465","10,78061962",
14/01/2009 19.00,"2,20882128",,,"10,75294971",
14/01/2009 20.00,"2,77050937","38,54289904","0,6060563","10,75022984",
14/01/2009 21.00,"2,70549052","57,1608652","0,86266619","10,74954987",
14/01/2009 22.00,"2,52127114","58,20955896","0,81311991","10,74820042",
14/01/2009 23.00,"2,85900667","57,0998724","1,03930582","10,74901009",
15/01/2009 0.00,"3,56698512","68,40432384","0,99234001","10,74847031",
15/01/2009 1.00,"2,91499456","53,5060772","0,84858717",,
15/01/2009 2.00,,"43,39693168","0,49440969",,
15/01/2009 3.00,"2,84094577",,"0,43159056",,
15/01/2009 4.00,"2,13116113","26,6777536","0,42083761",,
15/01/2009 5.00,"2,27384013","36,91796672","0,48149683",,
15/01/2009 6.00,"1,98125736","41,0698556",,"19,53343964",
15/01/2009 7.00,"2,02640911","44,63510464","0,33654986","19,53545952",
15/01/2009 8.00,"2,93305546","51,1543172","0,42141778","19,53614998",
15/01/2009 9.00,"3,66812475","66,72878088","0,60622756","19,53450966",
15/01/2009 10.00,"4,07810186","61,99675296","0,51481467","19,53450966",
15/01/2009 11.00,"3,51822099","60,2225508","0,51928477","19,53545952",
15/01/2009 12.00,"3,39721426","57,07390744","0,56837438","19,53425026",
15/01/2009 13.00,,"50,9220092","0,53568215","19,5357399",
15/01/2009 14.00,,"39,57124912","0,53319021","19,53750992",
15/01/2009 15.00,"0,00361238","29,50711208","0,36849183",,
15/01/2009 16.00,"2,16005817","41,16069472","0,39570157",,
15/01/2009 17.00,"2,99265573","46,06537624","0,45401914",,
15/01/2009 18.00,"2,67839968","62,85332896","0,88828454",,"2,58143585"
15/01/2009 19.00,"3,88485356","80,67183056","1,4837009",,"4,30077299"
15/01/2009 20.00,"3,82886465","84,38893064","1,48499288",,"4,84384082"
15/01/2009 21.00,"3,4622331","104,3410904","1,80063449",,"5,33017022"
15/01/2009 22.00,"3,16603796","80,14360232","1,827885",,"5,50686991"
15/01/2009 23.00,"2,92583069","66,66908824","1,64343987",,"6,41306369"
16/01/2009 0.00,"2,24494309","49,72016424","1,21053752",,"5,71599155"
16/01/2009 1.00,"1,96319646","48,43916248","1,03106578",,"3,90522508"
16/01/2009 2.00,,"49,4125808","0,76260085",,"3,09953938"
16/01/2009 3.00,"1,24979944",,"0,53570312",,"2,71177253"
16/01/2009 4.00,"1,9198509","52,43531896","0,42660553",,"2,01956369"
16/01/2009 5.00,"1,65616518","36,16129272","0,35002425",,"2,84389202"
16/01/2009 6.00,"1,47013961","33,1891652",,,"1,93234882"
16/01/2009 7.00,"1,21367763","45,50078176","0,46039053",,"1,03798885"
16/01/2009 8.00,"1,75188623","59,38802016","0,5984174",,"0,66156969"
16/01/2009 9.00,"1,71937681","54,58849864","0,69995297",,"2,04274518"
16/01/2009 10.00,"1,38525468","42,02639096","0,5932914",,"2,29223257"
16/01/2009 11.00,"1,3116605",,"0,50478169",,"1,75013699"
