TARANTO -  v.Alto Adige,,,,,
,,,,,,
,SO2,NO2,PM10,PM2.5,BENZENE
10/01/2011 8.00,"0,648905","61,64372","35,900002","22,9","2,374616"
10/01/2011 9.00,"1,070719","81,777595","35,900002","22,9","3,944954"
10/01/2011 10.00,"1,152571","83,50637","35,900002","22,9","5,036489"
10/01/2011 11.00,"1,105834","85,412958","35,900002","22,9","3,858914"
10/01/2011 12.00,"0,986491","81,131278","35,900002","22,9","3,561493"
10/01/2011 13.00,"0,757025","53,820139","35,900002","22,9","2,164764"
10/01/2011 14.00,"0,523983","44,581894","35,900002","22,9","2,113043"
10/01/2011 15.00,"0,587462","39,987435","35,900002","22,9","1,766951"
10/01/2011 16.00,"0,590051","36,332627","35,900002","22,9","1,523344"
10/01/2011 17.00,"0,510942","41,823927","35,900002","22,9","1,156908"
10/01/2011 18.00,"0,47111","56,884427","35,900002","22,9","2,018147"
10/01/2011 19.00,"0,511805","59,138826","35,900002","22,9","1,875824"
10/01/2011 20.00,"0,436549","60,755978","35,900002","22,9","2,115147"
10/01/2011 21.00,"0,429736","64,356277","35,900002","22,9","2,029632"
10/01/2011 22.00,"0,3953","56,153719","35,900002","22,9","1,769597"
10/01/2011 23.00,"0,386513","54,691018","35,900002","22,9","1,648415"
11/01/2011 0.00,"0,482085","47,416452","35,900002","22,9","1,227544"
11/01/2011 1.00,"0,458808","35,091851",33,"23,6","1,354531"
11/01/2011 2.00,"0,364469","25,482408",33,"23,6","0,935267"
11/01/2011 3.00,"0,388055","14,506315",33,"23,6","0,839563"
11/01/2011 4.00,"0,413181","18,423287",33,"23,6","0,977049"
11/01/2011 5.00,"0,436334","20,488188",33,"23,6","1,14324"
11/01/2011 6.00,"0,364284","35,892638",33,"23,6","1,098623"
11/01/2011 7.00,"0,407138","46,210727",33,"23,6","1,071791"
11/01/2011 8.00,"0,456497","62,184927",33,"23,6","1,608683"
11/01/2011 9.00,"0,512915","81,153349",33,"23,6","2,118784"
11/01/2011 10.00,"0,63198","83,645257",33,"23,6","3,216161"
11/01/2011 11.00,"0,523459","52,7455",33,"23,6","2,823945"
